;image;nnodes;width;height;npixels;runtime
0;val_157.png;1774;120;68;8160;18
1;val_084.png;821;120;68;8160;16
2;val_178.png;1793;120;68;8160;19
3;val_153.png;1267;120;68;8160;25
4;val_003.png;1390;120;68;8160;28
5;val_062.png;1880;120;68;8160;20
6;val_151.png;1613;120;68;8160;22
7;val_092.png;2360;120;68;8160;16
8;val_033.png;1937;120;68;8160;21
9;val_061.png;1900;120;68;8160;19
10;val_123.png;1445;120;68;8160;24
11;val_023.png;1930;120;68;8160;16
12;val_047.png;2482;120;68;8160;25
13;val_145.png;1019;120;68;8160;17
14;val_170.png;1601;120;68;8160;21
15;val_169.png;2305;120;68;8160;24
16;val_078.png;1410;120;68;8160;21
17;val_114.png;1048;120;68;8160;17
18;val_043.png;2141;120;68;8160;26
19;val_034.png;1392;120;68;8160;21
20;val_045.png;1552;120;68;8160;16
21;val_168.png;1905;120;68;8160;22
22;val_201.png;1990;120;68;8160;12
23;val_113.png;1553;120;68;8160;17
24;val_005.png;1273;120;68;8160;26
25;val_186.png;1932;120;68;8160;22
26;val_196.png;1632;120;68;8160;25
27;val_140.png;1234;120;68;8160;14
28;val_150.png;1639;120;68;8160;24
29;val_174.png;2261;120;68;8160;29
30;val_020.png;1589;120;68;8160;17
31;val_164.png;2007;120;68;8160;18
32;val_011.png;2134;120;68;8160;23
33;val_116.png;1755;120;68;8160;18
34;val_046.png;2305;120;68;8160;12
35;val_066.png;969;120;68;8160;25
36;val_107.png;1171;120;68;8160;24
37;val_096.png;1936;120;68;8160;24
38;val_029.png;1620;120;68;8160;16
39;val_009.png;1454;120;68;8160;19
40;val_090.png;1766;120;68;8160;21
41;val_111.png;1538;120;68;8160;16
42;val_132.png;2023;120;68;8160;22
43;val_130.png;1573;120;68;8160;25
44;val_060.png;1840;120;68;8160;22
45;val_050.png;1675;120;68;8160;19
46;val_018.png;1300;120;68;8160;24
47;val_058.png;2523;120;68;8160;17
48;val_064.png;1946;120;68;8160;24
49;val_079.png;1536;120;68;8160;24
50;val_134.png;1161;120;68;8160;24
51;val_065.png;1917;120;68;8160;15
52;val_105.png;2196;120;68;8160;15
53;val_052.png;1049;120;68;8160;24
54;val_198.png;1952;120;68;8160;26
55;val_189.png;1656;120;68;8160;22
56;val_074.png;1446;120;68;8160;20
57;val_104.png;1668;120;68;8160;26
58;val_053.png;1464;120;68;8160;17
59;val_099.png;2324;120;68;8160;25
60;val_121.png;2064;120;68;8160;17
61;val_037.png;1897;120;68;8160;31
62;val_072.png;1426;120;68;8160;20
63;val_194.png;1785;120;68;8160;25
64;val_026.png;1718;120;68;8160;24
65;val_081.png;1605;120;68;8160;22
66;val_070.png;1588;120;68;8160;25
67;val_125.png;2282;120;68;8160;18
68;val_154.png;2508;120;68;8160;23
69;val_177.png;1316;120;68;8160;25
70;val_004.png;1763;120;68;8160;19
71;val_128.png;1467;120;68;8160;17
72;val_166.png;1319;120;68;8160;21
73;val_021.png;2206;120;68;8160;13
74;val_162.png;1481;120;68;8160;17
75;val_094.png;1600;120;68;8160;14
76;val_055.png;2257;120;68;8160;29
77;val_187.png;1523;120;68;8160;18
78;val_147.png;1607;120;68;8160;24
79;val_073.png;2068;120;68;8160;24
80;val_142.png;1958;120;68;8160;25
81;val_093.png;2076;120;68;8160;22
82;val_048.png;2471;120;68;8160;23
83;val_089.png;2106;120;68;8160;16
84;val_171.png;1800;120;68;8160;15
85;val_017.png;1985;120;68;8160;20
86;val_000.png;1700;120;68;8160;24
87;val_118.png;1193;120;68;8160;25
88;val_071.png;2101;120;68;8160;18
89;val_016.png;1182;120;68;8160;21
90;val_102.png;1223;120;68;8160;16
91;val_108.png;1512;120;68;8160;24
92;val_002.png;1730;120;68;8160;27
93;val_063.png;1392;120;68;8160;21
94;val_100.png;1768;120;68;8160;24
95;val_040.png;1423;120;68;8160;25
96;val_115.png;1659;120;68;8160;24
97;val_042.png;1939;120;68;8160;18
98;val_110.png;1851;120;68;8160;19
99;val_197.png;1733;120;68;8160;22
100;val_190.png;2064;120;68;8160;25
101;val_086.png;2104;120;68;8160;12
102;val_103.png;2078;120;68;8160;25
103;val_041.png;1719;120;68;8160;24
104;val_135.png;1425;120;68;8160;24
105;val_085.png;1436;120;68;8160;25
106;val_012.png;1996;120;68;8160;19
107;val_010.png;1825;120;68;8160;20
108;val_184.png;2381;120;68;8160;25
109;val_158.png;1386;120;68;8160;20
110;val_156.png;1512;120;68;8160;20
111;val_088.png;1063;120;68;8160;18
112;val_163.png;1736;120;68;8160;20
113;val_054.png;1536;120;68;8160;25
114;val_083.png;2065;120;68;8160;13
115;val_028.png;1836;120;68;8160;14
116;val_022.png;1711;120;68;8160;24
117;val_032.png;1454;120;68;8160;17
118;val_120.png;1554;120;68;8160;22
119;val_191.png;1906;120;68;8160;26
120;val_075.png;2058;120;68;8160;15
121;val_176.png;532;120;68;8160;20
122;val_030.png;1598;120;68;8160;14
123;val_188.png;1883;120;68;8160;19
124;val_007.png;1646;120;68;8160;16
125;val_175.png;1426;120;68;8160;23
126;val_117.png;1476;120;68;8160;15
127;val_144.png;1424;120;68;8160;16
128;val_138.png;1875;120;68;8160;21
129;val_152.png;2010;120;68;8160;16
130;val_101.png;1729;120;68;8160;25
131;val_161.png;1780;120;68;8160;22
132;val_155.png;1743;120;68;8160;15
133;val_200.png;2061;120;68;8160;18
134;val_031.png;1393;120;68;8160;13
135;val_133.png;2064;120;68;8160;13
136;val_109.png;1441;120;68;8160;21
137;val_139.png;1886;120;68;8160;19
138;val_136.png;1919;120;68;8160;18
139;val_036.png;1306;120;68;8160;25
140;val_148.png;1734;120;68;8160;22
141;val_183.png;1543;120;68;8160;23
142;val_027.png;1601;120;68;8160;23
143;val_013.png;1220;120;68;8160;28
144;val_131.png;1332;120;68;8160;24
145;val_039.png;1887;120;68;8160;25
146;val_129.png;1537;120;68;8160;21
147;val_119.png;1974;120;68;8160;21
148;val_149.png;1682;120;68;8160;20
149;val_001.png;1643;120;68;8160;18
150;val_165.png;1633;120;68;8160;24
