;image;nnodes;width;height;npixels;runtime
0;val_157.png;13554;480;270;129600;1002
1;val_084.png;6288;480;270;129600;921
2;val_178.png;17482;480;270;129600;998
3;val_153.png;11583;480;270;129600;965
4;val_003.png;11938;480;270;129600;935
5;val_062.png;16064;480;270;129600;1031
6;val_151.png;19121;480;270;129600;1015
7;val_092.png;16437;480;270;129600;1087
8;val_033.png;15006;480;270;129600;1050
9;val_061.png;14637;480;270;129600;1033
10;val_123.png;10545;480;270;129600;926
11;val_023.png;18766;480;270;129600;1098
12;val_047.png;19165;480;270;129600;1130
13;val_145.png;9430;480;270;129600;993
14;val_170.png;11519;480;270;129600;1030
15;val_169.png;17167;480;270;129600;1107
16;val_078.png;11058;480;270;129600;985
17;val_114.png;10329;480;270;129600;913
18;val_043.png;17766;480;270;129600;1112
19;val_034.png;15739;480;270;129600;964
20;val_045.png;10706;480;270;129600;1017
21;val_168.png;17199;480;270;129600;1046
22;val_201.png;16198;480;270;129600;1046
23;val_113.png;11022;480;270;129600;1023
24;val_005.png;11602;480;270;129600;966
25;val_186.png;16479;480;270;129600;1049
26;val_196.png;13331;480;270;129600;1022
27;val_140.png;12212;480;270;129600;978
28;val_150.png;17327;480;270;129600;1058
29;val_174.png;19515;480;270;129600;1140
30;val_020.png;15545;480;270;129600;1004
31;val_164.png;17895;480;270;129600;1046
32;val_011.png;19503;480;270;129600;1064
33;val_116.png;20011;480;270;129600;1058
34;val_046.png;19760;480;270;129600;991
35;val_066.png;10646;480;270;129600;921
36;val_107.png;8896;480;270;129600;903
37;val_096.png;14819;480;270;129600;1015
38;val_029.png;19144;480;270;129600;1081
39;val_009.png;12864;480;270;129600;977
40;val_090.png;15711;480;270;129600;1049
41;val_111.png;12073;480;270;129600;774
42;val_132.png;18994;480;270;129600;1089
43;val_130.png;16666;480;270;129600;992
44;val_060.png;16951;480;270;129600;980
45;val_050.png;12528;480;270;129600;954
46;val_018.png;10040;480;270;129600;913
47;val_058.png;29845;480;270;129600;1237
48;val_064.png;16502;480;270;129600;1028
49;val_079.png;14651;480;270;129600;941
50;val_134.png;8499;480;270;129600;949
51;val_065.png;15738;480;270;129600;1004
52;val_105.png;20788;480;270;129600;1150
53;val_052.png;8913;480;270;129600;903
54;val_198.png;19712;480;270;129600;1064
55;val_189.png;15903;480;270;129600;1018
56;val_074.png;13416;480;270;129600;953
57;val_104.png;12804;480;270;129600;935
58;val_053.png;12249;480;270;129600;1027
59;val_099.png;19643;480;270;129600;1111
60;val_121.png;19723;480;270;129600;1117
61;val_037.png;15802;480;270;129600;1055
62;val_072.png;17747;480;270;129600;930
63;val_194.png;16877;480;270;129600;946
64;val_026.png;16757;480;270;129600;1064
65;val_081.png;12434;480;270;129600;1033
66;val_070.png;14772;480;270;129600;986
67;val_125.png;29784;480;270;129600;1143
68;val_154.png;27253;480;270;129600;1155
69;val_177.png;10929;480;270;129600;919
70;val_004.png;16482;480;270;129600;1070
71;val_128.png;13322;480;270;129600;962
72;val_166.png;11143;480;270;129600;942
73;val_021.png;21678;480;270;129600;1103
74;val_162.png;14274;480;270;129600;1017
75;val_094.png;14248;480;270;129600;981
76;val_055.png;24140;480;270;129600;1130
77;val_187.png;11832;480;270;129600;995
78;val_147.png;17160;480;270;129600;977
79;val_073.png;18662;480;270;129600;1126
80;val_142.png;16836;480;270;129600;1090
81;val_093.png;20724;480;270;129600;1090
82;val_048.png;28896;480;270;129600;1174
83;val_089.png;19305;480;270;129600;1122
84;val_171.png;16656;480;270;129600;1048
85;val_017.png;16093;480;270;129600;1029
86;val_000.png;17026;480;270;129600;1017
87;val_118.png;9766;480;270;129600;937
88;val_071.png;23706;480;270;129600;1138
89;val_016.png;7594;480;270;129600;889
90;val_102.png;12577;480;270;129600;963
91;val_108.png;10034;480;270;129600;917
92;val_002.png;15799;480;270;129600;947
