;image;nnodes;width;height;npixels;runtime
0;val_157.png;1774;120;68;8160;15
1;val_084.png;821;120;68;8160;11
2;val_178.png;1793;120;68;8160;15
3;val_153.png;1267;120;68;8160;11
4;val_003.png;1390;120;68;8160;17
5;val_062.png;1880;120;68;8160;24
6;val_151.png;1613;120;68;8160;21
7;val_092.png;2360;120;68;8160;21
8;val_033.png;1937;120;68;8160;22
9;val_061.png;1900;120;68;8160;10
10;val_123.png;1445;120;68;8160;22
11;val_023.png;1930;120;68;8160;21
12;val_047.png;2482;120;68;8160;17
13;val_145.png;1019;120;68;8160;23
14;val_170.png;1601;120;68;8160;15
15;val_169.png;2305;120;68;8160;22
16;val_078.png;1410;120;68;8160;24
17;val_114.png;1048;120;68;8160;12
18;val_043.png;2141;120;68;8160;22
19;val_034.png;1392;120;68;8160;23
20;val_045.png;1552;120;68;8160;19
21;val_168.png;1905;120;68;8160;17
22;val_201.png;1990;120;68;8160;21
23;val_113.png;1553;120;68;8160;23
24;val_005.png;1273;120;68;8160;22
25;val_186.png;1932;120;68;8160;17
26;val_196.png;1632;120;68;8160;16
27;val_140.png;1234;120;68;8160;21
28;val_150.png;1639;120;68;8160;22
29;val_174.png;2261;120;68;8160;13
30;val_020.png;1589;120;68;8160;22
31;val_164.png;2007;120;68;8160;22
32;val_011.png;2134;120;68;8160;14
33;val_116.png;1755;120;68;8160;25
34;val_046.png;2305;120;68;8160;16
35;val_066.png;969;120;68;8160;18
36;val_107.png;1171;120;68;8160;22
37;val_096.png;1936;120;68;8160;14
38;val_029.png;1620;120;68;8160;10
39;val_009.png;1454;120;68;8160;15
40;val_090.png;1766;120;68;8160;24
41;val_111.png;1538;120;68;8160;18
42;val_132.png;2023;120;68;8160;23
43;val_130.png;1573;120;68;8160;13
44;val_060.png;1840;120;68;8160;21
45;val_050.png;1675;120;68;8160;21
46;val_018.png;1300;120;68;8160;19
47;val_058.png;2523;120;68;8160;22
48;val_064.png;1946;120;68;8160;24
49;val_079.png;1536;120;68;8160;24
50;val_134.png;1161;120;68;8160;22
51;val_065.png;1917;120;68;8160;25
52;val_105.png;2196;120;68;8160;14
53;val_052.png;1049;120;68;8160;21
54;val_198.png;1952;120;68;8160;24
55;val_189.png;1656;120;68;8160;18
56;val_074.png;1446;120;68;8160;17
57;val_104.png;1668;120;68;8160;20
58;val_053.png;1464;120;68;8160;19
59;val_099.png;2324;120;68;8160;18
60;val_121.png;2064;120;68;8160;14
61;val_037.png;1897;120;68;8160;14
62;val_072.png;1426;120;68;8160;14
