;Unnamed: 0;image;nnodes;width;height;npixels;runtime_non_diff;runtime_exact_edt;runtime_max_diff;runtime_max_dist_opt2;runtime_max_dist_opt3;speedup_non_diff;speedup_exact;speedup_max_diff;speedup_max_dist_opt2
0;0;val_157.png;4858;240;135;32400;245.66666666666666;261.6666666666667;115.33333333333333;61.333333333333336;50.0;4.913333333333333;5.233333333333333;2.3066666666666666;1.2266666666666668
1;1;val_084.png;2161;240;135;32400;196.33333333333334;238.0;83.0;53.666666666666664;44.0;4.462121212121212;5.409090909090909;1.8863636363636365;1.2196969696969697
2;2;val_178.png;5455;240;135;32400;215.0;256.3333333333333;112.66666666666667;52.666666666666664;41.666666666666664;5.16;6.152;2.704;1.264
3;3;val_153.png;3586;240;135;32400;237.33333333333334;250.0;93.33333333333333;52.666666666666664;45.0;5.274074074074075;5.555555555555555;2.074074074074074;1.1703703703703703
4;4;val_003.png;3914;240;135;32400;193.66666666666666;241.0;96.0;57.0;47.666666666666664;4.062937062937063;5.055944055944056;2.013986013986014;1.1958041958041958
5;5;val_062.png;5275;240;135;32400;227.66666666666666;266.0;108.0;53.0;44.333333333333336;5.135338345864661;6.0;2.43609022556391;1.1954887218045112
6;6;val_151.png;5113;240;135;32400;231.66666666666666;256.0;108.33333333333333;53.333333333333336;45.0;5.148148148148148;5.688888888888889;2.4074074074074074;1.1851851851851853
7;7;val_092.png;6350;240;135;32400;292.3333333333333;288.6666666666667;143.66666666666666;54.333333333333336;46.0;6.355072463768115;6.27536231884058;3.123188405797101;1.1811594202898552
8;8;val_033.png;5275;240;135;32400;226.66666666666666;272.0;109.33333333333333;52.0;43.333333333333336;5.23076923076923;6.276923076923077;2.523076923076923;1.2
9;9;val_061.png;4619;240;135;32400;254.0;265.0;123.33333333333333;58.333333333333336;49.333333333333336;5.148648648648648;5.371621621621621;2.5;1.1824324324324325
10;10;val_123.png;3917;240;135;32400;229.33333333333334;246.33333333333334;105.0;59.333333333333336;46.666666666666664;4.914285714285715;5.278571428571429;2.25;1.2714285714285716
11;11;val_023.png;5782;240;135;32400;256.6666666666667;281.0;120.33333333333333;59.666666666666664;50.0;5.133333333333334;5.62;2.4066666666666667;1.1933333333333334
12;12;val_047.png;6986;240;135;32400;289.6666666666667;299.6666666666667;133.0;57.333333333333336;48.0;6.034722222222222;6.243055555555556;2.7708333333333335;1.1944444444444444
13;13;val_145.png;2959;240;135;32400;232.33333333333334;247.33333333333334;93.66666666666667;56.666666666666664;48.333333333333336;4.8068965517241375;5.117241379310345;1.9379310344827587;1.1724137931034482
14;14;val_170.png;4306;240;135;32400;236.0;265.0;118.33333333333333;57.333333333333336;46.666666666666664;5.057142857142858;5.678571428571429;2.5357142857142856;1.2285714285714286
15;15;val_169.png;6427;240;135;32400;294.0;295.0;127.66666666666667;55.0;44.666666666666664;6.5820895522388065;6.604477611940299;2.8582089552238807;1.2313432835820897
16;16;val_078.png;4083;240;135;32400;231.0;258.0;110.0;53.666666666666664;43.0;5.372093023255814;6.0;2.558139534883721;1.248062015503876
17;17;val_114.png;3012;240;135;32400;201.66666666666666;230.33333333333334;82.0;51.666666666666664;41.0;4.918699186991869;5.617886178861789;2.0;1.2601626016260161
18;18;val_043.png;5985;240;135;32400;254.0;289.0;126.33333333333333;56.666666666666664;48.0;5.291666666666667;6.020833333333333;2.631944444444444;1.1805555555555556
19;19;val_034.png;4681;240;135;32400;170.66666666666666;241.33333333333334;88.0;54.333333333333336;44.0;3.8787878787878785;5.484848484848485;2.0;1.2348484848484849
20;20;val_045.png;3966;240;135;32400;266.3333333333333;269.0;115.66666666666667;57.333333333333336;47.0;5.666666666666666;5.723404255319149;2.4609929078014185;1.2198581560283688
21;21;val_168.png;5485;240;135;32400;247.0;270.0;125.0;57.666666666666664;48.0;5.145833333333333;5.625;2.6041666666666665;1.2013888888888888
22;22;val_201.png;5766;240;135;32400;234.33333333333334;275.0;119.33333333333333;53.666666666666664;44.0;5.325757575757576;6.25;2.712121212121212;1.2196969696969697
23;23;val_113.png;3992;240;135;32400;178.33333333333334;250.33333333333334;93.66666666666667;48.333333333333336;41.0;4.349593495934959;6.105691056910569;2.2845528455284554;1.1788617886178863
24;24;val_005.png;3828;240;135;32400;228.66666666666666;252.0;105.33333333333333;61.0;50.333333333333336;4.543046357615894;5.006622516556291;2.0927152317880795;1.2119205298013245
25;25;val_186.png;5621;240;135;32400;192.33333333333334;257.0;104.0;55.0;47.666666666666664;4.034965034965035;5.391608391608392;2.181818181818182;1.153846153846154
26;26;val_196.png;4384;240;135;32400;240.33333333333334;260.0;113.66666666666667;55.666666666666664;46.333333333333336;5.18705035971223;5.611510791366906;2.4532374100719423;1.2014388489208632
27;27;val_140.png;3968;240;135;32400;167.66666666666666;253.33333333333334;94.0;53.666666666666664;43.333333333333336;3.869230769230769;5.846153846153846;2.169230769230769;1.2384615384615383
28;28;val_150.png;5071;240;135;32400;245.66666666666666;267.3333333333333;108.33333333333333;53.666666666666664;44.0;5.583333333333333;6.075757575757575;2.462121212121212;1.2196969696969697
29;29;val_174.png;6254;240;135;32400;302.3333333333333;297.3333333333333;131.0;60.666666666666664;48.666666666666664;6.212328767123288;6.10958904109589;2.6917808219178085;1.2465753424657535
30;30;val_020.png;4738;240;135;32400;231.66666666666666;253.66666666666666;108.0;53.0;43.666666666666664;5.305343511450382;5.809160305343512;2.4732824427480917;1.2137404580152673
31;31;val_164.png;5887;240;135;32400;228.0;272.6666666666667;116.0;56.0;48.333333333333336;4.7172413793103445;5.641379310344828;2.4;1.1586206896551723
32;32;val_011.png;6265;240;135;32400;227.66666666666666;268.6666666666667;110.66666666666667;54.666666666666664;44.666666666666664;5.097014925373134;6.0149253731343295;2.4776119402985075;1.2238805970149254
33;33;val_116.png;5751;240;135;32400;236.33333333333334;266.3333333333333;109.0;52.333333333333336;42.666666666666664;5.539062500000001;6.2421875;2.5546875;1.2265625000000002
34;34;val_046.png;6600;240;135;32400;220.0;253.66666666666666;101.33333333333333;53.666666666666664;45.0;4.888888888888889;5.637037037037037;2.2518518518518515;1.1925925925925926
35;35;val_066.png;3020;240;135;32400;216.66666666666666;238.0;92.33333333333333;52.0;44.0;4.924242424242424;5.409090909090909;2.098484848484848;1.1818181818181819
36;36;val_107.png;3279;240;135;32400;194.0;230.0;93.0;54.0;43.333333333333336;4.476923076923077;5.3076923076923075;2.146153846153846;1.2461538461538462
37;37;val_096.png;5246;240;135;32400;233.33333333333334;261.6666666666667;116.33333333333333;56.333333333333336;45.333333333333336;5.147058823529412;5.772058823529412;2.566176470588235;1.2426470588235294
38;38;val_029.png;5482;240;135;32400;234.0;270.3333333333333;113.33333333333333;51.666666666666664;42.333333333333336;5.52755905511811;6.385826771653543;2.6771653543307083;1.2204724409448817
39;39;val_009.png;4400;240;135;32400;239.33333333333334;257.6666666666667;112.0;59.666666666666664;50.333333333333336;4.754966887417218;5.119205298013245;2.225165562913907;1.1854304635761588
40;40;val_090.png;5282;240;135;32400;249.33333333333334;273.3333333333333;115.33333333333333;57.0;45.333333333333336;5.5;6.029411764705881;2.5441176470588234;1.2573529411764706
41;41;val_111.png;4267;240;135;32400;163.33333333333334;196.66666666666666;95.33333333333333;54.666666666666664;43.666666666666664;3.740458015267176;4.5038167938931295;2.183206106870229;1.251908396946565
42;42;val_132.png;6170;240;135;32400;247.0;279.6666666666667;123.0;59.0;47.333333333333336;5.218309859154929;5.908450704225352;2.5985915492957745;1.2464788732394365
43;43;val_130.png;4908;240;135;32400;233.33333333333334;256.0;109.0;55.333333333333336;45.0;5.185185185185185;5.688888888888889;2.422222222222222;1.2296296296296296
44;44;val_060.png;5366;240;135;32400;212.0;251.0;107.66666666666667;60.333333333333336;51.333333333333336;4.129870129870129;4.8896103896103895;2.0974025974025974;1.1753246753246753
45;45;val_050.png;4291;240;135;32400;187.0;249.33333333333334;99.0;55.333333333333336;44.333333333333336;4.2180451127819545;5.62406015037594;2.233082706766917;1.2481203007518797
46;46;val_018.png;3534;240;135;32400;141.0;237.33333333333334;90.0;52.666666666666664;41.666666666666664;3.3840000000000003;5.696000000000001;2.16;1.264
47;47;val_058.png;8548;240;135;32400;295.6666666666667;305.6666666666667;134.66666666666666;56.0;45.333333333333336;6.522058823529412;6.74264705882353;2.9705882352941173;1.2352941176470587
48;48;val_064.png;5326;240;135;32400;227.33333333333334;259.0;118.0;56.0;45.0;5.051851851851852;5.7555555555555555;2.6222222222222222;1.2444444444444445
49;49;val_079.png;4675;240;135;32400;190.0;241.33333333333334;95.66666666666667;57.666666666666664;45.333333333333336;4.1911764705882355;5.323529411764706;2.110294117647059;1.2720588235294117
50;50;val_134.png;3117;240;135;32400;194.33333333333334;241.33333333333334;101.0;55.0;46.333333333333336;4.194244604316546;5.2086330935251794;2.1798561151079134;1.1870503597122302
51;51;val_065.png;5351;240;135;32400;175.66666666666666;254.66666666666666;95.33333333333333;48.666666666666664;41.333333333333336;4.249999999999999;6.161290322580645;2.3064516129032255;1.1774193548387095
