;Unnamed: 0;image;nnodes;width;height;npixels;runtime_non_diff;runtime_exact_edt;runtime_max_diff;runtime_max_dist_opt2;runtime_max_dist_opt3;speedup_non_diff;speedup_exact;speedup_max_diff;speedup_max_dist_opt2
0;0;val_157.png;1774;120;68;8160;69.66666666666667;72.33333333333333;31.666666666666668;17.333333333333332;15.666666666666666;4.446808510638299;4.617021276595745;2.021276595744681;1.1063829787234043
1;1;val_084.png;821;120;68;8160;55.333333333333336;70.0;22.666666666666668;18.666666666666668;15.0;3.688888888888889;4.666666666666667;1.5111111111111113;1.2444444444444445
2;2;val_178.png;1793;120;68;8160;59.333333333333336;77.66666666666667;29.666666666666668;17.666666666666668;15.333333333333334;3.869565217391304;5.065217391304348;1.934782608695652;1.1521739130434783
3;3;val_153.png;1267;120;68;8160;64.66666666666667;72.33333333333333;25.666666666666668;23.333333333333332;13.0;4.9743589743589745;5.564102564102564;1.9743589743589745;1.7948717948717947
4;4;val_003.png;1390;120;68;8160;53.333333333333336;74.66666666666667;25.333333333333332;23.666666666666668;17.333333333333332;3.076923076923077;4.307692307692308;1.4615384615384617;1.3653846153846156
5;5;val_062.png;1880;120;68;8160;63.666666666666664;78.0;29.0;18.333333333333332;17.333333333333332;3.6730769230769234;4.5;1.6730769230769231;1.0576923076923077
6;6;val_151.png;1613;120;68;8160;63.333333333333336;77.66666666666667;29.333333333333332;23.333333333333332;17.666666666666668;3.5849056603773586;4.39622641509434;1.660377358490566;1.320754716981132
7;7;val_092.png;2360;120;68;8160;72.33333333333333;79.66666666666667;37.333333333333336;16.666666666666668;22.333333333333332;3.2388059701492535;3.567164179104478;1.6716417910447763;0.746268656716418
8;8;val_033.png;1937;120;68;8160;63.0;77.0;29.0;16.666666666666668;15.666666666666666;4.021276595744681;4.914893617021277;1.8510638297872342;1.0638297872340428
9;9;val_061.png;1900;120;68;8160;70.66666666666667;82.33333333333333;33.0;21.333333333333332;17.666666666666668;4.0;4.660377358490566;1.8679245283018866;1.2075471698113207
10;10;val_123.png;1445;120;68;8160;61.0;75.0;28.0;19.666666666666668;16.333333333333332;3.734693877551021;4.591836734693878;1.7142857142857144;1.2040816326530615
11;11;val_023.png;1930;120;68;8160;78.33333333333333;81.0;31.666666666666668;19.666666666666668;17.666666666666668;4.433962264150943;4.584905660377358;1.7924528301886793;1.1132075471698113
12;12;val_047.png;2482;120;68;8160;71.0;87.66666666666667;35.333333333333336;20.0;17.0;4.176470588235294;5.1568627450980395;2.0784313725490198;1.1764705882352942
13;13;val_145.png;1019;120;68;8160;63.333333333333336;74.0;25.0;16.0;21.0;3.015873015873016;3.5238095238095237;1.1904761904761905;0.7619047619047619
14;14;val_170.png;1601;120;68;8160;65.33333333333333;80.33333333333333;32.0;20.666666666666668;14.333333333333334;4.55813953488372;5.604651162790697;2.2325581395348837;1.4418604651162792
15;15;val_169.png;2305;120;68;8160;72.33333333333333;84.33333333333333;33.666666666666664;24.0;17.333333333333332;4.173076923076923;4.865384615384616;1.9423076923076923;1.3846153846153848
16;16;val_078.png;1410;120;68;8160;63.0;76.0;31.0;17.333333333333332;20.333333333333332;3.098360655737705;3.737704918032787;1.5245901639344264;0.8524590163934426
17;17;val_114.png;1048;120;68;8160;53.0;69.33333333333333;22.666666666666668;18.333333333333332;14.0;3.7857142857142856;4.952380952380952;1.619047619047619;1.3095238095238095
18;18;val_043.png;2141;120;68;8160;70.0;84.33333333333333;33.0;22.666666666666668;15.666666666666666;4.468085106382979;5.382978723404255;2.1063829787234045;1.446808510638298
19;19;val_034.png;1392;120;68;8160;46.666666666666664;72.33333333333333;22.0;17.666666666666668;22.0;2.121212121212121;3.2878787878787876;1.0;0.8030303030303031
20;20;val_045.png;1552;120;68;8160;73.0;77.33333333333333;31.666666666666668;16.666666666666668;17.333333333333332;4.211538461538462;4.461538461538462;1.826923076923077;0.9615384615384617
21;21;val_168.png;1905;120;68;8160;67.66666666666667;77.66666666666667;34.0;24.0;16.333333333333332;4.142857142857143;4.755102040816327;2.0816326530612246;1.469387755102041
22;22;val_201.png;1990;120;68;8160;64.33333333333333;79.33333333333333;31.333333333333332;18.0;18.0;3.574074074074074;4.407407407407407;1.7407407407407407;1.0
23;23;val_113.png;1553;120;68;8160;50.0;69.66666666666667;25.0;18.333333333333332;15.0;3.3333333333333335;4.644444444444445;1.6666666666666667;1.222222222222222
24;24;val_005.png;1273;120;68;8160;62.666666666666664;74.0;27.333333333333332;24.0;20.0;3.1333333333333333;3.7;1.3666666666666667;1.2
25;25;val_186.png;1932;120;68;8160;53.666666666666664;72.33333333333333;26.333333333333332;22.333333333333332;19.333333333333332;2.7758620689655173;3.7413793103448274;1.3620689655172413;1.1551724137931034
26;26;val_196.png;1632;120;68;8160;64.33333333333333;79.66666666666667;30.0;21.0;17.0;3.784313725490196;4.686274509803922;1.7647058823529411;1.2352941176470589
27;27;val_140.png;1234;120;68;8160;45.333333333333336;75.0;24.666666666666668;19.666666666666668;17.0;2.666666666666667;4.411764705882353;1.450980392156863;1.1568627450980393
28;28;val_150.png;1639;120;68;8160;66.0;79.0;28.666666666666668;21.333333333333332;20.666666666666668;3.193548387096774;3.82258064516129;1.3870967741935483;1.032258064516129
29;29;val_174.png;2261;120;68;8160;72.66666666666667;89.33333333333333;34.333333333333336;21.666666666666668;18.333333333333332;3.9636363636363643;4.872727272727273;1.872727272727273;1.1818181818181819
30;30;val_020.png;1589;120;68;8160;61.0;77.66666666666667;28.333333333333332;15.0;18.666666666666668;3.267857142857143;4.160714285714286;1.5178571428571428;0.8035714285714285
31;31;val_164.png;2007;120;68;8160;62.666666666666664;76.66666666666667;30.333333333333332;19.666666666666668;19.0;3.2982456140350878;4.035087719298246;1.5964912280701753;1.0350877192982457
32;32;val_011.png;2134;120;68;8160;52.333333333333336;76.33333333333333;27.666666666666668;20.666666666666668;18.0;2.9074074074074074;4.2407407407407405;1.5370370370370372;1.1481481481481481
33;33;val_116.png;1755;120;68;8160;63.0;76.0;29.0;20.666666666666668;21.333333333333332;2.953125;3.5625;1.359375;0.9687500000000001
34;34;val_046.png;2305;120;68;8160;52.0;78.66666666666667;25.333333333333332;20.666666666666668;16.333333333333332;3.1836734693877555;4.816326530612246;1.5510204081632653;1.2653061224489797
35;35;val_066.png;969;120;68;8160;59.666666666666664;69.33333333333333;25.333333333333332;23.0;15.333333333333334;3.8913043478260865;4.521739130434782;1.652173913043478;1.5
36;36;val_107.png;1171;120;68;8160;52.666666666666664;60.333333333333336;24.666666666666668;25.333333333333332;18.666666666666668;2.821428571428571;3.232142857142857;1.3214285714285714;1.357142857142857
37;37;val_096.png;1936;120;68;8160;63.333333333333336;78.66666666666667;30.0;20.333333333333332;16.0;3.9583333333333335;4.916666666666667;1.875;1.2708333333333333
38;38;val_029.png;1620;120;68;8160;63.333333333333336;78.0;29.0;18.666666666666668;13.666666666666666;4.634146341463415;5.707317073170732;2.1219512195121952;1.3658536585365855
39;39;val_009.png;1454;120;68;8160;67.0;78.0;28.666666666666668;22.666666666666668;16.0;4.1875;4.875;1.7916666666666667;1.4166666666666667
40;40;val_090.png;1766;120;68;8160;68.0;79.0;31.666666666666668;22.666666666666668;18.666666666666668;3.642857142857143;4.232142857142857;1.6964285714285714;1.2142857142857142
41;41;val_111.png;1538;120;68;8160;44.666666666666664;60.666666666666664;25.333333333333332;17.666666666666668;18.0;2.4814814814814814;3.3703703703703702;1.4074074074074074;0.9814814814814815
42;42;val_132.png;2023;120;68;8160;67.66666666666667;78.66666666666667;32.666666666666664;20.666666666666668;20.666666666666668;3.274193548387097;3.806451612903226;1.5806451612903223;1.0
43;43;val_130.png;1573;120;68;8160;61.666666666666664;75.66666666666667;29.666666666666668;21.666666666666668;15.666666666666666;3.9361702127659575;4.829787234042554;1.893617021276596;1.3829787234042554
44;44;val_060.png;1840;120;68;8160;59.666666666666664;74.0;27.0;23.666666666666668;18.666666666666668;3.196428571428571;3.964285714285714;1.4464285714285714;1.2678571428571428
45;45;val_050.png;1675;120;68;8160;52.0;70.66666666666667;26.0;20.333333333333332;19.666666666666668;2.6440677966101696;3.593220338983051;1.3220338983050848;1.0338983050847457
46;46;val_018.png;1300;120;68;8160;38.666666666666664;73.33333333333333;23.666666666666668;23.0;15.333333333333334;2.5217391304347823;4.782608695652174;1.5434782608695652;1.5
47;47;val_058.png;2523;120;68;8160;69.66666666666667;86.33333333333333;33.333333333333336;18.333333333333332;18.333333333333332;3.8000000000000007;4.709090909090909;1.8181818181818183;1.0
48;48;val_064.png;1946;120;68;8160;62.0;79.66666666666667;32.0;22.666666666666668;16.333333333333332;3.795918367346939;4.877551020408164;1.959183673469388;1.3877551020408165
