;Unnamed: 0;image;nnodes;width;height;npixels;runtime_non_diff;runtime_exact_edt;runtime_max_diff;runtime_max_dist_opt2;runtime_max_dist_opt3;speedup_non_diff;speedup_exact;speedup_max_diff;speedup_max_dist_opt2
0;0;val_157.png;13554;480;270;129600;966.3333333333334;1001.0;453.3333333333333;240.33333333333334;198.33333333333334;4.872268907563025;5.047058823529412;2.2857142857142856;1.2117647058823529
1;1;val_084.png;6288;480;270;129600;777.3333333333334;921.3333333333334;317.6666666666667;198.66666666666666;161.0;4.828157349896481;5.722567287784679;1.9730848861283645;1.2339544513457557
2;2;val_178.png;17482;480;270;129600;879.3333333333334;1000.3333333333334;447.6666666666667;213.66666666666666;178.33333333333334;4.930841121495327;5.609345794392524;2.5102803738317756;1.1981308411214953
3;3;val_153.png;11583;480;270;129600;938.6666666666666;967.0;371.6666666666667;207.0;169.66666666666666;5.532416502946955;5.699410609037328;2.1905697445972496;1.2200392927308448
4;4;val_003.png;11938;480;270;129600;764.0;930.6666666666666;384.3333333333333;220.33333333333334;183.33333333333334;4.167272727272727;5.076363636363636;2.096363636363636;1.201818181818182
5;5;val_062.png;16064;480;270;129600;910.3333333333334;1031.0;441.6666666666667;219.33333333333334;183.33333333333334;4.965454545454546;5.623636363636363;2.409090909090909;1.1963636363636363
6;6;val_151.png;19121;480;270;129600;938.3333333333334;1011.6666666666666;441.6666666666667;210.0;173.0;5.4238921001926785;5.847784200385356;2.5529865125240847;1.2138728323699421
7;7;val_092.png;16437;480;270;129600;1055.0;1089.0;555.6666666666666;229.66666666666666;191.66666666666666;5.504347826086957;5.681739130434783;2.8991304347826086;1.1982608695652175
8;8;val_033.png;15006;480;270;129600;897.6666666666666;1050.3333333333333;436.6666666666667;214.33333333333334;174.0;5.159003831417624;6.036398467432949;2.509578544061303;1.2318007662835249
9;9;val_061.png;14637;480;270;129600;1016.0;1030.6666666666667;494.3333333333333;249.33333333333334;205.66666666666666;4.940032414910859;5.011345218800649;2.4035656401944894;1.2123176661264183
10;10;val_123.png;10545;480;270;129600;898.6666666666666;927.3333333333334;422.0;232.66666666666666;194.66666666666666;4.616438356164384;4.763698630136987;2.1678082191780823;1.1952054794520548
11;11;val_023.png;18766;480;270;129600;1051.3333333333333;1097.3333333333333;503.6666666666667;237.33333333333334;197.0;5.336717428087986;5.570219966159052;2.55668358714044;1.2047377326565145
12;12;val_047.png;19165;480;270;129600;1018.6666666666666;1129.3333333333333;536.0;247.66666666666666;208.66666666666666;4.881789137380192;5.412140575079872;2.5686900958466454;1.1869009584664536
13;13;val_145.png;9430;480;270;129600;923.6666666666666;992.0;373.6666666666667;213.0;175.0;5.278095238095238;5.668571428571428;2.1352380952380954;1.217142857142857
14;14;val_170.png;11519;480;270;129600;936.0;1024.6666666666667;477.6666666666667;242.33333333333334;199.66666666666666;4.687813021702838;5.131886477462438;2.3923205342237064;1.2136894824707847
