;Unnamed: 0;image;nnodes;width;height;npixels;runtime_non_diff;runtime_exact_edt;runtime_max_diff;runtime_max_dist_opt2;speedup_non_diff;speedup_exact;speedup_max_diff
0;0;val_157.png;4858;240;135;32400;245.66666666666666;261.6666666666667;115.33333333333333;61.333333333333336;4.005434782608695;4.266304347826087;1.8804347826086956
1;1;val_084.png;2161;240;135;32400;196.33333333333334;238.0;83.0;53.666666666666664;3.658385093167702;4.434782608695652;1.5465838509316772
2;2;val_178.png;5455;240;135;32400;215.0;256.3333333333333;112.66666666666667;52.666666666666664;4.082278481012659;4.867088607594937;2.139240506329114
3;3;val_153.png;3586;240;135;32400;237.33333333333334;250.0;93.33333333333333;52.666666666666664;4.506329113924051;4.746835443037975;1.7721518987341771
4;4;val_003.png;3914;240;135;32400;193.66666666666666;241.0;96.0;57.0;3.39766081871345;4.228070175438597;1.6842105263157894
5;5;val_062.png;5275;240;135;32400;227.66666666666666;266.0;108.0;53.0;4.29559748427673;5.018867924528302;2.0377358490566038
6;6;val_151.png;5113;240;135;32400;231.66666666666666;256.0;108.33333333333333;53.333333333333336;4.34375;4.8;2.03125
7;7;val_092.png;6350;240;135;32400;292.3333333333333;288.6666666666667;143.66666666666666;54.333333333333336;5.380368098159509;5.3128834355828225;2.644171779141104
8;8;val_033.png;5275;240;135;32400;226.66666666666666;272.0;109.33333333333333;52.0;4.358974358974359;5.230769230769231;2.1025641025641026
9;9;val_061.png;4619;240;135;32400;254.0;265.0;123.33333333333333;58.333333333333336;4.354285714285714;4.542857142857143;2.1142857142857143
10;10;val_123.png;3917;240;135;32400;229.33333333333334;246.33333333333334;105.0;59.333333333333336;3.865168539325843;4.151685393258427;1.7696629213483146
11;11;val_023.png;5782;240;135;32400;256.6666666666667;281.0;120.33333333333333;59.666666666666664;4.301675977653632;4.709497206703911;2.016759776536313
12;12;val_047.png;6986;240;135;32400;289.6666666666667;299.6666666666667;133.0;57.333333333333336;5.052325581395349;5.226744186046512;2.3197674418604652
13;13;val_145.png;2959;240;135;32400;232.33333333333334;247.33333333333334;93.66666666666667;56.666666666666664;4.1000000000000005;4.364705882352942;1.6529411764705884
14;14;val_170.png;4306;240;135;32400;236.0;265.0;118.33333333333333;57.333333333333336;4.116279069767442;4.622093023255814;2.0639534883720927
15;15;val_169.png;6427;240;135;32400;294.0;295.0;127.66666666666667;55.0;5.345454545454546;5.363636363636363;2.3212121212121213
16;16;val_078.png;4083;240;135;32400;231.0;258.0;110.0;53.666666666666664;4.304347826086957;4.807453416149069;2.049689440993789
17;17;val_114.png;3012;240;135;32400;201.66666666666666;230.33333333333334;82.0;51.666666666666664;3.903225806451613;4.458064516129032;1.5870967741935484
18;18;val_043.png;5985;240;135;32400;254.0;289.0;126.33333333333333;56.666666666666664;4.482352941176471;5.1000000000000005;2.2294117647058824
19;19;val_034.png;4681;240;135;32400;170.66666666666666;241.33333333333334;88.0;54.333333333333336;3.1411042944785272;4.441717791411043;1.6196319018404908
20;20;val_045.png;3966;240;135;32400;266.3333333333333;269.0;115.66666666666667;57.333333333333336;4.645348837209302;4.691860465116279;2.0174418604651163
21;21;val_168.png;5485;240;135;32400;247.0;270.0;125.0;57.666666666666664;4.283236994219654;4.682080924855492;2.167630057803468
