;Unnamed: 0;image;nnodes;width;height;npixels;runtime_non_diff;runtime_exact_edt;runtime_max_diff;runtime_max_dist_opt2;speedup_non_diff;speedup_exact;speedup_max_diff
0;0;val_157.png;107981;1920;1080;2073600;18622.666666666668;18859.333333333332;9994.333333333334;6287.0;2.9620910874290867;2.999734902709294;1.5896824134457346
1;1;val_084.png;62776;1920;1080;2073600;15169.333333333334;17420.0;5780.333333333333;3882.6666666666665;3.9069368131868134;4.486607142857143;1.488753434065934
2;2;val_178.png;151311;1920;1080;2073600;17693.333333333332;19404.0;10085.333333333334;5977.0;2.960236461993196;3.2464447047013554;1.6873570910713291
3;3;val_153.png;106318;1920;1080;2073600;17921.0;18197.333333333332;7678.0;4985.0;3.594984954864594;3.6504179204279503;1.540220661985958
4;4;val_003.png;110846;1920;1080;2073600;14832.333333333334;17991.333333333332;8311.0;5426.666666666667;2.7332309582309584;3.315356265356265;1.5315110565110563
5;5;val_062.png;133174;1920;1080;2073600;17276.0;19239.333333333332;10145.333333333334;6385.0;2.705716523101018;3.0132080396763246;1.5889323936309059
6;6;val_151.png;231574;1920;1080;2073600;19703.333333333332;21386.333333333332;9960.0;5555.333333333333;3.5467418696747868;3.8496939877595104;1.7928717148685949
7;7;val_092.png;115024;1920;1080;2073600;20398.333333333332;19891.333333333332;12041.333333333334;7203.0;2.8319218844000185;2.7615345457911054;1.6717108612152345
8;8;val_033.png;125414;1920;1080;2073600;17931.333333333332;19956.666666666668;9572.333333333334;5858.666666666667;3.060650887573964;3.406349567592171;1.6338757396449703
9;9;val_061.png;153040;1920;1080;2073600;20846.666666666668;20096.0;11764.666666666666;7370.333333333333;2.828456424404143;2.7266066663651576;1.5962190764777713
10;10;val_123.png;90626;1920;1080;2073600;17096.0;18188.0;8883.333333333334;5829.666666666667;2.932586197038138;3.119903939619189;1.523814969409343
11;11;val_023.png;197080;1920;1080;2073600;21428.333333333332;21458.666666666668;11679.333333333334;6595.0;3.2491786707101338;3.253778114733384;1.7709375789739703
12;12;val_047.png;153145;1920;1080;2073600;19935.333333333332;20951.666666666668;11851.333333333334;7033.0;2.8345419214180767;2.9790511398644486;1.6851035594103987
13;13;val_145.png;92842;1920;1080;2073600;18492.333333333332;18904.666666666668;8485.666666666666;5691.0;3.249399636853511;3.3218532185321856;1.4910677678205353
14;14;val_170.png;90162;1920;1080;2073600;18303.0;19308.333333333332;9699.666666666666;6127.0;2.987269463032479;3.151351939502747;1.5831021163157608
15;15;val_169.png;136701;1920;1080;2073600;19414.0;21548.0;10724.666666666666;6201.0;3.1307853572004514;3.4749233994517015;1.729505993656937
16;16;val_078.png;88813;1920;1080;2073600;17448.666666666668;18306.666666666668;8871.333333333334;5574.333333333333;3.130179991628297;3.284099742869103;1.5914608622854753
17;17;val_114.png;110751;1920;1080;2073600;15249.666666666666;17633.333333333332;6776.0;4264.333333333333;3.5760963026655204;4.1350738685218476;1.588993981083405
18;18;val_043.png;141507;1920;1080;2073600;20527.0;20612.0;12369.333333333334;7645.333333333333;2.684905824904081;2.6960237181723055;1.6178932682246252
19;19;val_034.png;171935;1920;1080;2073600;13934.666666666666;18857.0;7056.0;4108.0;3.392080493346316;4.59031158714703;1.7176241480038947
20;20;val_045.png;90050;1920;1080;2073600;20480.0;19013.666666666668;9994.666666666666;6430.666666666667;3.1847397885133732;2.9567178104913956;1.5542193655401202
21;21;val_168.png;140976;1920;1080;2073600;18714.666666666668;19793.333333333332;11358.0;6535.666666666667;2.8634671290865508;3.028510225939715;1.7378487274952823
22;22;val_201.png;115127;1920;1080;2073600;17706.0;19290.0;9733.0;5616.0;3.1527777777777777;3.4348290598290596;1.7330840455840455
23;23;val_113.png;97093;1920;1080;2073600;14488.666666666666;18618.0;7248.333333333333;4395.0;3.2966249525976488;4.23617747440273;1.6492226014410314
24;24;val_005.png;95646;1920;1080;2073600;18574.666666666668;18777.666666666668;8433.333333333334;5512.0;3.3698597000483796;3.406688437348815;1.5299951620706338
25;25;val_186.png;126420;1920;1080;2073600;15735.0;20254.666666666668;9437.0;5885.0;2.6737468139337297;3.4417445482866045;1.6035683942225998
26;26;val_196.png;140645;1920;1080;2073600;19873.0;19993.333333333332;10392.333333333334;6588.0;3.0165452337583485;3.034810767051204;1.577464076097956
27;27;val_140.png;99679;1920;1080;2073600;12755.333333333334;18076.0;7712.333333333333;4902.666666666667;2.601713353277128;3.6869730758770736;1.5730894751155833
28;28;val_150.png;195204;1920;1080;2073600;19912.0;20892.333333333332;10143.666666666666;5841.333333333333;3.408810773795937;3.576637753937457;1.736532755078749
29;29;val_174.png;177887;1920;1080;2073600;20404.333333333332;21012.666666666668;11646.666666666666;6523.333333333333;3.127899846704139;3.221154828819622;1.7853857945835463
30;30;val_020.png;170194;1920;1080;2073600;19003.333333333332;20459.0;9499.0;5566.0;3.4141813390825244;3.675709665828243;1.7066115702479339
31;31;val_164.png;178570;1920;1080;2073600;18589.666666666668;20564.0;10656.0;6440.0;2.886594202898551;3.193167701863354;1.6546583850931678
32;32;val_011.png;178927;1920;1080;2073600;16589.333333333332;21730.0;9625.0;5646.0;2.938245365450466;3.848742472546936;1.7047467233439604
