;Unnamed: 0;image;nnodes;width;height;npixels;runtime_non_diff;runtime_exact_edt;runtime_max_diff;runtime_max_dist_opt2;speedup_non_diff;speedup_exact;speedup_max_diff
0;0;val_157.png;1774;120;68;8160;69.66666666666667;72.33333333333333;31.666666666666668;17.333333333333332;4.01923076923077;4.173076923076923;1.826923076923077
1;1;val_084.png;821;120;68;8160;55.333333333333336;70.0;22.666666666666668;18.666666666666668;2.9642857142857144;3.7499999999999996;1.2142857142857142
2;2;val_178.png;1793;120;68;8160;59.333333333333336;77.66666666666667;29.666666666666668;17.666666666666668;3.3584905660377355;4.39622641509434;1.6792452830188678
3;3;val_153.png;1267;120;68;8160;64.66666666666667;72.33333333333333;25.666666666666668;23.333333333333332;2.771428571428572;3.1;1.1
4;4;val_003.png;1390;120;68;8160;53.333333333333336;74.66666666666667;25.333333333333332;23.666666666666668;2.2535211267605635;3.154929577464789;1.0704225352112675
5;5;val_062.png;1880;120;68;8160;63.666666666666664;78.0;29.0;18.333333333333332;3.4727272727272727;4.254545454545455;1.581818181818182
6;6;val_151.png;1613;120;68;8160;63.333333333333336;77.66666666666667;29.333333333333332;23.333333333333332;2.7142857142857144;3.3285714285714287;1.2571428571428571
7;7;val_092.png;2360;120;68;8160;72.33333333333333;79.66666666666667;37.333333333333336;16.666666666666668;4.339999999999999;4.78;2.2399999999999998
8;8;val_033.png;1937;120;68;8160;63.0;77.0;29.0;16.666666666666668;3.78;4.62;1.7399999999999998
9;9;val_061.png;1900;120;68;8160;70.66666666666667;82.33333333333333;33.0;21.333333333333332;3.3125000000000004;3.859375;1.546875
10;10;val_123.png;1445;120;68;8160;61.0;75.0;28.0;19.666666666666668;3.101694915254237;3.813559322033898;1.423728813559322
11;11;val_023.png;1930;120;68;8160;78.33333333333333;81.0;31.666666666666668;19.666666666666668;3.9830508474576267;4.11864406779661;1.6101694915254237
12;12;val_047.png;2482;120;68;8160;71.0;87.66666666666667;35.333333333333336;20.0;3.55;4.383333333333334;1.7666666666666668
13;13;val_145.png;1019;120;68;8160;63.333333333333336;74.0;25.0;16.0;3.9583333333333335;4.625;1.5625
14;14;val_170.png;1601;120;68;8160;65.33333333333333;80.33333333333333;32.0;20.666666666666668;3.1612903225806446;3.887096774193548;1.5483870967741935
15;15;val_169.png;2305;120;68;8160;72.33333333333333;84.33333333333333;33.666666666666664;24.0;3.013888888888889;3.513888888888889;1.4027777777777777
16;16;val_078.png;1410;120;68;8160;63.0;76.0;31.0;17.333333333333332;3.634615384615385;4.384615384615385;1.7884615384615385
17;17;val_114.png;1048;120;68;8160;53.0;69.33333333333333;22.666666666666668;18.333333333333332;2.890909090909091;3.7818181818181817;1.2363636363636366
18;18;val_043.png;2141;120;68;8160;70.0;84.33333333333333;33.0;22.666666666666668;3.0882352941176467;3.7205882352941173;1.4558823529411764
19;19;val_034.png;1392;120;68;8160;46.666666666666664;72.33333333333333;22.0;17.666666666666668;2.641509433962264;4.094339622641509;1.2452830188679245
20;20;val_045.png;1552;120;68;8160;73.0;77.33333333333333;31.666666666666668;16.666666666666668;4.38;4.64;1.9
21;21;val_168.png;1905;120;68;8160;67.66666666666667;77.66666666666667;34.0;24.0;2.8194444444444446;3.236111111111111;1.4166666666666667
22;22;val_201.png;1990;120;68;8160;64.33333333333333;79.33333333333333;31.333333333333332;18.0;3.574074074074074;4.407407407407407;1.7407407407407407
23;23;val_113.png;1553;120;68;8160;50.0;69.66666666666667;25.0;18.333333333333332;2.7272727272727275;3.8000000000000007;1.3636363636363638
24;24;val_005.png;1273;120;68;8160;62.666666666666664;74.0;27.333333333333332;24.0;2.611111111111111;3.0833333333333335;1.1388888888888888
25;25;val_186.png;1932;120;68;8160;53.666666666666664;72.33333333333333;26.333333333333332;22.333333333333332;2.4029850746268657;3.2388059701492535;1.1791044776119404
26;26;val_196.png;1632;120;68;8160;64.33333333333333;79.66666666666667;30.0;21.0;3.0634920634920633;3.793650793650794;1.4285714285714286
27;27;val_140.png;1234;120;68;8160;45.333333333333336;75.0;24.666666666666668;19.666666666666668;2.305084745762712;3.813559322033898;1.2542372881355932
28;28;val_150.png;1639;120;68;8160;66.0;79.0;28.666666666666668;21.333333333333332;3.09375;3.703125;1.3437500000000002
29;29;val_174.png;2261;120;68;8160;72.66666666666667;89.33333333333333;34.333333333333336;21.666666666666668;3.353846153846154;4.123076923076923;1.5846153846153845
30;30;val_020.png;1589;120;68;8160;61.0;77.66666666666667;28.333333333333332;15.0;4.066666666666666;5.177777777777778;1.8888888888888888
31;31;val_164.png;2007;120;68;8160;62.666666666666664;76.66666666666667;30.333333333333332;19.666666666666668;3.186440677966101;3.8983050847457625;1.542372881355932
32;32;val_011.png;2134;120;68;8160;52.333333333333336;76.33333333333333;27.666666666666668;20.666666666666668;2.532258064516129;3.6935483870967736;1.3387096774193548
33;33;val_116.png;1755;120;68;8160;63.0;76.0;29.0;20.666666666666668;3.0483870967741935;3.6774193548387095;1.4032258064516128
34;34;val_046.png;2305;120;68;8160;52.0;78.66666666666667;25.333333333333332;20.666666666666668;2.5161290322580645;3.806451612903226;1.225806451612903
35;35;val_066.png;969;120;68;8160;59.666666666666664;69.33333333333333;25.333333333333332;23.0;2.5942028985507246;3.014492753623188;1.1014492753623188
36;36;val_107.png;1171;120;68;8160;52.666666666666664;60.333333333333336;24.666666666666668;25.333333333333332;2.0789473684210527;2.3815789473684212;0.9736842105263159
37;37;val_096.png;1936;120;68;8160;63.333333333333336;78.66666666666667;30.0;20.333333333333332;3.114754098360656;3.8688524590163937;1.4754098360655739
38;38;val_029.png;1620;120;68;8160;63.333333333333336;78.0;29.0;18.666666666666668;3.392857142857143;4.178571428571428;1.5535714285714284
39;39;val_009.png;1454;120;68;8160;67.0;78.0;28.666666666666668;22.666666666666668;2.955882352941176;3.441176470588235;1.2647058823529411
40;40;val_090.png;1766;120;68;8160;68.0;79.0;31.666666666666668;22.666666666666668;3.0;3.4852941176470584;1.3970588235294117
41;41;val_111.png;1538;120;68;8160;44.666666666666664;60.666666666666664;25.333333333333332;17.666666666666668;2.5283018867924527;3.433962264150943;1.4339622641509433
42;42;val_132.png;2023;120;68;8160;67.66666666666667;78.66666666666667;32.666666666666664;20.666666666666668;3.274193548387097;3.806451612903226;1.5806451612903223
43;43;val_130.png;1573;120;68;8160;61.666666666666664;75.66666666666667;29.666666666666668;21.666666666666668;2.846153846153846;3.4923076923076923;1.3692307692307693
44;44;val_060.png;1840;120;68;8160;59.666666666666664;74.0;27.0;23.666666666666668;2.52112676056338;3.1267605633802815;1.1408450704225352
