;Unnamed: 0;image;nnodes;width;height;npixels;runtime_non_diff;runtime_exact_edt;runtime_max_diff;runtime_max_dist_opt2;speedup_non_diff;speedup_exact;speedup_max_diff
0;0;val_157.png;37352;960;540;518400;4245.0;4437.333333333333;2106.3333333333335;1153.3333333333333;3.6806358381502893;3.8473988439306357;1.8263005780346824
1;1;val_084.png;20564;960;540;518400;3393.3333333333335;4077.6666666666665;1306.3333333333333;839.6666666666666;4.041286224692339;4.856292179436284;1.55577610162763
2;2;val_178.png;53891;960;540;518400;4006.0;4573.666666666667;2066.3333333333335;1094.0;3.6617915904936016;4.180682510664229;1.8887873248019502
3;3;val_153.png;37833;960;540;518400;4089.6666666666665;4353.0;1642.0;1000.6666666666666;4.086942038640906;4.350099933377749;1.6409060626249168
4;4;val_003.png;37817;960;540;518400;3420.6666666666665;4221.666666666667;1745.0;1060.3333333333333;3.2260295504558316;3.9814523734674636;1.6457088965734048
5;5;val_062.png;47875;960;540;518400;4024.0;4603.666666666667;2064.3333333333335;1124.3333333333333;3.579009783575452;4.0945745627038255;1.8360509931811446
6;6;val_151.png;72878;960;540;518400;4418.666666666667;4966.333333333333;2033.3333333333333;1010.3333333333334;4.37347410095678;4.915539425932035;2.0125371164632133
7;7;val_092.png;44334;960;540;518400;4684.0;4872.333333333333;2543.3333333333335;1263.0;3.7086302454473477;3.8577461071522827;2.0137239377144365
8;8;val_033.png;44122;960;540;518400;4110.333333333333;4743.666666666667;1938.3333333333333;1049.6666666666667;3.915846300412829;4.519212448396316;1.846617973959987
9;9;val_061.png;48969;960;540;518400;4616.333333333333;4716.0;2341.3333333333335;1327.3333333333333;3.477900552486188;3.5529884480160727;1.7639377197388248
10;10;val_123.png;31598;960;540;518400;3943.3333333333335;4186.0;1905.0;1124.3333333333333;3.507263563593241;3.723095167506671;1.6943373851171066
11;11;val_023.png;64494;960;540;518400;4778.333333333333;5073.333333333333;2380.3333333333335;1199.6666666666667;3.9830508474576267;4.228952486801889;1.9841622672964712
12;12;val_047.png;53368;960;540;518400;4560.333333333333;5062.333333333333;2460.6666666666665;1251.6666666666667;3.6434087882822896;4.044474034620506;1.965912117177097
13;13;val_145.png;30368;960;540;518400;4097.666666666667;4392.0;1660.3333333333333;1000.6666666666666;4.09493670886076;4.389073950699534;1.6592271818787474
14;14;val_170.png;32814;960;540;518400;4108.666666666667;4557.666666666667;2076.6666666666665;1172.3333333333333;3.5046914984361677;3.8876883707705434;1.771396076201308
15;15;val_169.png;48916;960;540;518400;4501.666666666667;4859.333333333333;2326.6666666666665;1149.6666666666667;3.9156277181791825;4.226732386198898;2.0237750072484775
16;16;val_078.png;32629;960;540;518400;3932.0;4275.666666666667;1893.6666666666667;1061.0;3.705937794533459;4.029846057178762;1.7847942192899782
17;17;val_114.png;37393;960;540;518400;3572.6666666666665;4135.0;1429.3333333333333;851.3333333333334;4.196554424432263;4.85708692247455;1.6789350039154267
18;18;val_043.png;50598;960;540;518400;4491.333333333333;4876.666666666667;2412.0;1300.3333333333333;3.4539861573955397;3.750320430658806;1.8549089976928994
19;19;val_034.png;53802;960;540;518400;3143.3333333333335;4388.666666666667;1498.0;850.6666666666666;3.6951410658307213;5.15909090909091;1.760971786833856
20;20;val_045.png;31455;960;540;518400;4574.0;4447.333333333333;2034.0;1157.6666666666667;3.951050964583933;3.841635473653901;1.7569824359343507
21;21;val_168.png;52535;960;540;518400;4397.333333333333;4749.0;2424.0;1243.6666666666667;3.5357812918788523;3.818547306352184;1.9490753149289735
22;22;val_201.png;45227;960;540;518400;4143.333333333333;4634.0;2091.3333333333335;1053.3333333333333;3.9335443037974684;4.399367088607595;1.985443037974684
23;23;val_113.png;33900;960;540;518400;3167.0;4554.666666666667;1558.3333333333333;854.0;3.708430913348946;5.333333333333334;1.8247462919594066
24;24;val_005.png;35162;960;540;518400;4046.0;4345.0;1720.6666666666667;1021.0;3.962781586679726;4.255631733594515;1.6852758733268038
25;25;val_186.png;46238;960;540;518400;3397.3333333333335;4413.333333333333;1962.0;1117.3333333333333;3.040572792362769;3.9498806682577565;1.755966587112172
26;26;val_196.png;44563;960;540;518400;4358.666666666667;4613.0;2106.6666666666665;1159.3333333333333;3.7596319723979303;3.979010925819437;1.8171362852213917
27;27;val_140.png;35560;960;540;518400;2913.0;4272.333333333333;1644.6666666666667;962.3333333333334;3.027017665396605;4.439556633183234;1.709040526498095
