;image;nnodes;width;height;npixels;runtime
0;val_157.png;37352;960;540;518400;2089
1;val_084.png;20564;960;540;518400;1278
2;val_178.png;53891;960;540;518400;2067
3;val_153.png;37833;960;540;518400;1635
4;val_003.png;37817;960;540;518400;1743
5;val_062.png;47875;960;540;518400;2057
6;val_151.png;72878;960;540;518400;2040
7;val_092.png;44334;960;540;518400;2539
8;val_033.png;44122;960;540;518400;1925
9;val_061.png;48969;960;540;518400;2344
10;val_123.png;31598;960;540;518400;1934
11;val_023.png;64494;960;540;518400;2374
12;val_047.png;53368;960;540;518400;2450
13;val_145.png;30368;960;540;518400;1661
14;val_170.png;32814;960;540;518400;2076
15;val_169.png;48916;960;540;518400;2339
16;val_078.png;32629;960;540;518400;1889
17;val_114.png;37393;960;540;518400;1434
18;val_043.png;50598;960;540;518400;2405
19;val_034.png;53802;960;540;518400;1498
20;val_045.png;31455;960;540;518400;2040
21;val_168.png;52535;960;540;518400;2422
22;val_201.png;45227;960;540;518400;2089
23;val_113.png;33900;960;540;518400;1554
24;val_005.png;35162;960;540;518400;1716
25;val_186.png;46238;960;540;518400;1953
26;val_196.png;44563;960;540;518400;2090
27;val_140.png;35560;960;540;518400;1645
28;val_150.png;60781;960;540;518400;2043
29;val_174.png;61910;960;540;518400;2415
30;val_020.png;54427;960;540;518400;1959
31;val_164.png;58237;960;540;518400;2191
32;val_011.png;61979;960;540;518400;2048
33;val_116.png;71938;960;540;518400;2071
34;val_046.png;60677;960;540;518400;1946
35;val_066.png;37375;960;540;518400;1584
36;val_107.png;23128;960;540;518400;1698
37;val_096.png;42364;960;540;518400;2250
38;val_029.png;68234;960;540;518400;2242
39;val_009.png;39979;960;540;518400;2099
40;val_090.png;47445;960;540;518400;2113
41;val_111.png;33416;960;540;518400;1714
42;val_132.png;58284;960;540;518400;2324
43;val_130.png;57052;960;540;518400;2031
44;val_060.png;51872;960;540;518400;2008
45;val_050.png;38175;960;540;518400;1756
46;val_018.png;28246;960;540;518400;1542
47;val_058.png;98351;960;540;518400;2693
48;val_064.png;52840;960;540;518400;2235
49;val_079.png;44711;960;540;518400;1640
50;val_134.png;23300;960;540;518400;1770
51;val_065.png;48054;960;540;518400;1677
52;val_105.png;59800;960;540;518400;2310
53;val_052.png;30643;960;540;518400;1457
54;val_198.png;62659;960;540;518400;2400
55;val_189.png;51912;960;540;518400;1926
56;val_074.png;46100;960;540;518400;1825
57;val_104.png;35129;960;540;518400;1871
58;val_053.png;39416;960;540;518400;2094
59;val_099.png;56072;960;540;518400;2572
60;val_121.png;62864;960;540;518400;2352
